# config=big_only_a76 binary=bench_gdn_rk3588_a76 affinity=4-7 extra= therm_before=38846
model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,87.506,90.131,3.0,22.32,3.00
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,284.103,306.854,8.0,10.42,1.85
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,95.382,98.299,3.1,21.60,21.99
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,39.086,39.961,2.2,37.48,6.71
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,280.020,314.438,12.3,10.52,1.87
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,54.837,78.463,43.1,26.71,4.78
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,282.936,302.479,6.9,10.41,1.85
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,556.539,628.877,13.0,8.83,1.88
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,35.002,35.586,1.7,27.90,3.74
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,97.132,103.257,6.3,15.24,2.70
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,32.669,33.544,2.7,31.53,32.10
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,19.543,19.835,1.5,37.48,6.71
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,97.715,100.923,3.3,15.07,2.68
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,27.419,28.002,2.1,26.71,4.78
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,98.299,105.882,7.7,14.98,2.67
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,247.351,255.517,3.3,9.93,2.12
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.167,1.167,0.0,26.15,3.51
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,1.458,1.750,20.0,52.32,5.62
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,2.626,2.917,11.1,52.30,12.48
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,1.167,1.167,0.0,19.61,3.51
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,1.458,1.459,0.1,41.86,5.62
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,1.458,1.459,0.1,15.70,2.81
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,1.750,1.751,0.1,34.88,4.68
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,1.750,1.751,0.1,61.04,9.36
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,0.875,1.167,33.4,17.44,2.34
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.167,1.167,0.0,32.69,3.51
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,1.751,2.042,16.6,39.22,9.36
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,0.875,1.167,33.4,13.08,2.34
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.167,1.167,0.0,26.15,3.51
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.167,1.167,0.0,9.81,1.76
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,1.167,1.459,25.0,26.15,3.51
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.167,1.458,24.9,45.77,7.02
# config=all_cores_a76 binary=bench_gdn_rk3588_a76 affinity=all extra= therm_before=38846
