step,mse_loss
1,0.022652
2,0.020885
3,0.019202
4,0.017615
5,0.016177
6,0.014860
7,0.013679
8,0.012636
9,0.011696
10,0.010850
11,0.010075
12,0.009386
13,0.008746
14,0.008174
15,0.007655
16,0.007177
17,0.006750
18,0.006361
19,0.006000
20,0.005672
21,0.005369
22,0.005092
23,0.004839
24,0.004605
25,0.004392
26,0.004194
27,0.004011
28,0.003844
29,0.003690
30,0.003546
31,0.003416
32,0.003295
33,0.003183
34,0.003081
35,0.002984
36,0.002895
37,0.002814
38,0.002734
39,0.002661
40,0.002593
41,0.002528
42,0.002467
43,0.002409
44,0.002354
45,0.002302
46,0.002254
47,0.002207
48,0.002162
49,0.002120
50,0.002081
51,0.002043
52,0.002007
53,0.001973
54,0.001940
55,0.001910
56,0.001881
57,0.001851
58,0.001824
59,0.001798
60,0.001773
61,0.001749
62,0.001726
63,0.001703
64,0.001681
65,0.001660
66,0.001639
67,0.001620
68,0.001600
69,0.001581
70,0.001563
71,0.001546
72,0.001529
73,0.001512
74,0.001496
75,0.001480
76,0.001465
77,0.001451
78,0.001436
79,0.001422
80,0.001409
81,0.001396
82,0.001383
83,0.001371
84,0.001359
85,0.001347
86,0.001336
87,0.001325
88,0.001314
89,0.001304
90,0.001293
91,0.001283
92,0.001273
93,0.001264
94,0.001255
95,0.001246
96,0.001237
97,0.001228
98,0.001220
99,0.001212
100,0.001203
