model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,1228.197,1367.469,11.3,1.59,0.21
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,2511.342,2581.447,2.8,1.18,0.21
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,1462.679,1570.754,7.4,1.41,1.43
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,734.907,908.555,23.6,1.99,0.36
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,2496.184,2592.436,3.9,1.18,0.21
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,800.221,1581.431,97.6,1.83,0.33
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,2501.029,2606.811,4.2,1.18,0.21
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,4346.890,4414.599,1.6,1.13,0.24
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,271.879,322.610,18.7,3.59,0.48
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,542.040,689.438,27.2,2.73,0.48
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,357.557,372.090,4.1,2.88,2.93
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,305.682,347.401,13.6,2.40,0.43
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,582.509,855.534,46.9,2.53,0.45
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,367.974,393.600,7.0,1.99,0.36
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,573.030,715.740,24.9,2.57,0.46
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,1325.802,1507.315,13.7,1.85,0.40
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,5.885,6.041,2.7,5.19,0.70
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,12.969,14.948,15.3,5.88,0.63
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,28.595,29.271,2.4,4.80,1.15
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,6.458,6.667,3.2,3.54,0.63
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,11.458,11.771,2.7,5.33,0.71
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,8.334,8.490,1.9,2.75,0.49
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,12.969,13.281,2.4,4.71,0.63
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,15.782,16.146,2.3,6.77,1.04
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,4.167,4.219,1.3,3.66,0.49
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,5.573,5.730,2.8,6.84,0.73
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,13.594,15.677,15.3,5.05,1.21
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,4.375,4.584,4.8,2.62,0.47
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,6.563,6.719,2.4,4.65,0.62
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,5.365,5.469,1.9,2.13,0.38
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,7.240,7.448,2.9,4.22,0.57
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,6.615,6.823,3.1,8.07,1.24
