model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,515.634,747.566,45.0,3.79,0.51
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,1013.665,1170.439,15.5,2.92,0.52
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,571.938,635.689,11.1,3.60,3.67
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,353.445,385.164,9.0,4.14,0.74
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,1008.873,1098.666,8.9,2.92,0.52
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,348.913,496.051,42.2,4.20,0.75
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,993.508,1040.332,4.7,2.96,0.53
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,1730.970,3381.574,95.4,2.84,0.61
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,197.191,219.900,11.5,4.95,0.66
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,283.026,337.819,19.4,5.23,0.93
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,196.150,240.213,22.5,5.25,5.35
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,160.264,164.846,2.9,4.57,0.82
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,286.881,338.809,18.1,5.13,0.91
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,159.378,178.805,12.2,4.60,0.82
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,285.266,315.371,10.6,5.16,0.92
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,437.144,1493.205,241.6,5.62,1.20
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,3.646,4.063,11.4,8.37,1.12
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,4.740,4.844,2.2,16.10,1.73
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,11.146,11.563,3.7,12.32,2.94
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,4.167,4.323,3.7,5.49,0.98
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,5.364,5.521,2.9,11.38,1.53
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,4.636,4.792,3.4,4.94,0.88
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,5.521,5.677,2.8,11.06,1.48
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,5.157,5.365,4.0,20.71,3.18
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,3.125,3.281,5.0,4.88,0.66
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,3.854,3.907,1.4,9.90,1.06
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,8.073,8.333,3.2,8.51,2.03
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,3.333,4.011,20.3,3.43,0.61
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,4.219,4.323,2.5,7.23,0.97
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,3.750,3.906,4.2,3.05,0.55
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,4.219,4.375,3.7,7.23,0.97
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,4.271,4.323,1.2,12.50,1.92
