model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,514.130,561.059,9.1,3.80,0.51
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,1010.083,1169.306,15.8,2.93,0.52
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,581.788,637.467,9.6,3.54,3.60
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,364.699,444.805,22.0,4.02,0.72
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,1002.530,1190.297,18.7,2.94,0.52
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,362.720,390.637,7.7,4.04,0.72
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,1005.864,1065.449,5.9,2.93,0.52
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,1662.238,1756.616,5.7,2.96,0.63
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,208.496,239.382,14.8,4.68,0.63
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,285.894,955.602,234.3,5.18,0.92
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,201.361,223.236,10.9,5.12,5.21
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,165.370,170.526,3.1,4.43,0.79
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,263.550,320.895,21.8,5.59,0.99
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,167.140,173.338,3.7,4.38,0.78
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,263.029,303.603,15.4,5.60,1.00
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,409.439,465.848,13.8,6.00,1.28
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,3.802,5.000,31.5,8.03,1.08
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,5.625,5.782,2.8,13.56,1.46
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,10.886,11.302,3.8,12.62,3.01
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,3.907,3.959,1.3,5.86,1.05
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,5.052,5.105,1.0,12.08,1.62
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,4.115,4.271,3.8,5.56,1.00
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,5.365,5.573,3.9,11.38,1.53
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,6.927,7.084,2.3,15.42,2.37
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,3.125,3.229,3.3,4.88,0.66
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,3.802,3.906,2.7,10.03,1.08
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,9.323,10.157,8.9,7.37,1.76
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,3.125,3.229,3.3,3.66,0.66
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,4.063,4.167,2.6,7.51,1.01
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,3.698,3.802,2.8,3.09,0.55
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,4.167,4.323,3.7,7.32,0.98
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,4.792,5.000,4.3,11.15,1.71
