timestamp_ms,power_in_mw,power_gpu_mw,power_cpu_mw,temp_milliC
24,2082,0,653,51500
151,2699,0,979,51500
278,2862,0,1061,52000
405,2862,0,1061,52000
532,2821,0,1061,52000
659,2862,0,1102,52000
786,2821,0,1061,52000
913,2862,0,1102,52000
1040,2780,0,1061,52000
1168,2862,0,1102,52000
1294,2862,0,1102,52000
1422,2821,0,1020,52000
1551,2862,0,1061,52000
1678,3062,0,1265,52000
1806,2821,0,1061,52000
1933,2780,0,1020,52000
2060,2780,0,1020,52000
2188,2776,0,1020,52000
2315,2821,0,1061,52000
2442,3225,0,1347,52000
2570,2858,0,1061,52000
2697,2821,0,1061,52000
2824,2862,0,1061,52000
2951,2817,0,1020,52000
3078,2780,0,1020,52000
3206,2780,0,1020,51500
3335,2821,0,1061,52000
3462,2780,0,1020,52000
3591,2862,0,1061,52000
3718,2821,0,1061,52000
3845,2862,0,1061,52000
3972,2780,0,1020,51500
4099,2780,0,1020,52000
4228,2776,0,1143,51500
4355,2821,0,1061,52000
4482,2985,0,1184,52000
4610,2821,0,1061,52000
4737,2862,0,1061,52000
4864,2862,0,1102,51500
5005,2780,0,1265,52000
5132,2862,0,1102,52000
5259,2903,0,1102,52000
5386,2780,0,1020,52000
5513,2780,0,1020,52000
5640,2821,0,1061,52000
5767,2862,0,1061,52000
5895,3062,0,1224,52000
6022,2821,0,1061,52000
6149,2780,0,1061,52000
6276,2903,0,1102,52000
6403,2862,0,1102,52000
6530,2862,0,1061,52000
6657,2862,0,1102,52000
6784,2821,0,1061,52000
6911,2821,0,1061,52000
7038,2780,0,1020,52000
7165,2821,0,1020,52000
7293,2821,0,1061,52000
7420,2780,0,1020,52000
7547,2985,0,1184,52000
7674,2821,0,1061,52000
7801,2821,0,1061,52000
7928,2821,0,1061,52000
8055,2780,0,1020,52500
8182,2780,0,1020,52000
8310,2821,0,1061,52000
8436,3067,0,1143,52000
8563,2903,0,1102,52000
8690,2944,0,1143,52000
8818,2821,0,1061,52000
8945,2821,0,1061,52000
9072,2780,0,1020,52000
9199,2780,0,1020,52500
9326,2821,0,1061,52000
9455,2821,0,1061,52000
9582,2821,0,1061,52000
9710,2780,0,1061,52000
9839,2862,0,1102,52000
9966,2780,0,1020,52000
