timestamp_ms,power_in_mw,power_gpu_mw,power_cpu_mw,temp_milliC
24,2041,0,571,52000
153,2780,0,1102,52000
280,2821,0,1143,52000
407,2862,0,1143,52500
534,2862,0,1143,52000
662,2821,0,1143,52000
789,2780,0,1102,52000
916,2817,0,1102,52000
1045,2903,0,1224,52000
1172,2821,0,1143,52500
1299,2862,0,1143,52500
1426,2944,0,1224,52000
1553,2821,0,1143,52500
1680,2821,0,1102,52000
1807,2780,0,1102,52000
1934,2780,0,1102,52500
2062,2944,0,1265,52500
2189,2821,0,1143,52500
2317,2821,0,1143,52000
2444,2903,0,1184,52500
2571,2821,0,1143,52000
2698,2862,0,1143,52000
2826,2780,0,1143,52500
2954,2862,0,1143,52500
3081,2903,0,1184,52000
3207,2821,0,1143,52000
3334,2903,0,1184,52000
3461,2862,0,1143,52500
3588,2821,0,1143,52500
3715,2780,0,1143,52000
3842,2862,0,1143,52000
3969,2780,0,1143,52500
4096,2944,0,1224,52500
4223,3021,0,1224,52500
4361,3108,0,1388,52500
4488,2903,0,1184,52500
4615,2862,0,1184,52500
4742,2862,0,1143,52500
4869,2862,0,1143,52500
4996,2780,0,1102,52500
5123,2821,0,1143,52500
5251,2780,0,1102,52500
5378,2862,0,1143,52500
5505,2817,0,1143,52500
5632,2862,0,1143,52500
5761,2821,0,1143,52000
5918,2858,0,1347,52000
6055,3026,0,1306,52500
6183,2821,0,1143,52500
6310,2821,0,1143,52500
6436,2821,0,1143,52500
6563,2780,0,1143,52500
6690,2821,0,1143,52500
6818,2776,0,1102,52000
6945,2858,0,1102,52000
7072,2903,0,1184,52500
7199,2862,0,1143,52500
7326,2821,0,1143,52500
7453,2862,0,1143,52500
7581,2780,0,1102,52500
7707,2862,0,1143,52500
7835,2821,0,1143,52500
7962,2899,0,1184,52500
8089,2980,0,1224,52500
8216,2821,0,1143,52500
8343,2817,0,1184,52500
8471,2821,0,1143,52500
8598,2776,0,1102,52500
8725,2821,0,1102,52500
8852,2862,0,1143,52500
8980,2821,0,1102,52500
9107,2862,0,1143,52500
9234,2821,0,1143,52500
9361,2944,0,1184,52000
9487,3103,0,1306,52500
9614,2821,0,1143,52500
9741,2903,0,1184,52500
9868,2903,0,1184,52500
9995,2821,0,1143,52500
