timestamp_ms,power_in_mw,power_gpu_mw,power_cpu_mw,temp_milliC
22,2041,0,612,52000
148,2776,0,1102,51500
275,2821,0,1143,52000
401,2862,0,1184,52000
530,2821,0,1143,52000
696,3067,0,1714,52000
823,2903,0,1184,52000
949,2903,0,1184,52000
1076,2821,0,1102,51500
1203,2821,0,1143,52000
1330,3189,0,1184,52000
1456,2858,0,1143,52000
1583,2821,0,1102,52000
1709,2821,0,1102,52000
1836,2821,0,1143,52000
1963,2862,0,1143,52000
2089,2821,0,1102,52000
2215,2862,0,1143,52000
2342,2821,0,1102,52000
2470,2780,0,1143,52000
2597,2776,0,1102,52000
2723,2821,0,1102,52000
2850,2821,0,1102,52000
2976,2944,0,1184,52000
3104,2780,0,1102,52000
3231,2862,0,1143,51500
3358,2821,0,1184,52000
3484,2862,0,1184,52000
3611,2776,0,1102,52000
3737,2862,0,1143,52000
3864,2780,0,1102,52000
3992,2780,0,1102,52000
4120,2821,0,1143,52000
4246,2821,0,1143,52000
4374,2780,0,1102,52000
4500,2903,0,1184,52000
4627,2780,0,1102,52000
4753,2780,0,1102,52000
4885,2780,0,1224,52000
5012,2821,0,1143,52000
5139,2821,0,1184,52000
5265,2862,0,1143,52000
5392,2821,0,1102,52000
5519,2821,0,1143,52000
5647,2821,0,1102,52000
5774,2821,0,1143,52000
5901,2944,0,1184,52000
6027,2780,0,1102,52000
6154,2903,0,1184,52500
6282,2944,0,1224,52000
6409,2858,0,1143,52000
6535,2821,0,1143,52000
6664,2821,0,1184,52000
6791,2780,0,1102,52000
6924,3026,0,1347,52000
7051,2903,0,1184,52500
7178,2862,0,1184,52000
7305,2821,0,1143,52000
7431,2821,0,1143,52500
7557,2780,0,1102,52500
7683,2862,0,1143,52000
7810,2821,0,1143,52000
7937,2862,0,1143,52000
8064,2821,0,1143,52000
8190,2862,0,1184,52000
8317,2821,0,1143,52000
8444,2821,0,1143,52000
8571,2776,0,1102,52000
8697,2821,0,1143,52000
8823,2776,0,1143,52500
8950,2939,0,1184,52000
9076,3026,0,1265,52500
9202,2944,0,1184,52000
9328,3103,0,1347,52000
9455,2862,0,1184,52000
9581,2780,0,1102,52000
9708,2780,0,1102,52000
9835,2780,0,1102,52000
9961,2821,0,1143,52000
