model,quant_variant,matrix,K,N,max_abs,mean_abs,rel_err_pct,cos_sim
Qwen3.5-0.8B,Q8_0,g_q_proj,1024,2048,1.5889,0.3883,0.13,1.000000
Qwen3.5-0.8B,Q8_0,g_k_proj,1024,2048,1.4581,0.3147,0.12,1.000000
Qwen3.5-0.8B,Q8_0,g_v_proj,1024,2048,1.6115,0.3119,0.13,1.000000
Qwen3.5-0.8B,Q8_0,g_o_proj,2048,1024,2.1423,0.4744,0.09,1.000000
Qwen3.5-0.8B,Q8_0,f_q_proj,1024,2048,1.3384,0.3097,0.11,1.000000
Qwen3.5-0.8B,Q8_0,f_k_proj,1024,512,1.5433,0.5543,0.13,1.000000
Qwen3.5-0.8B,Q8_0,f_v_proj,1024,512,1.3611,0.3358,0.11,1.000000
Qwen3.5-0.8B,Q8_0,f_o_proj,2048,1024,2.0729,0.5209,0.09,1.000000
Qwen3.5-0.8B,Q8_0,gate_proj,1024,3584,1.8899,0.3422,0.15,1.000000
Qwen3.5-0.8B,Q8_0,up_proj,1024,3584,1.8916,0.5910,0.16,1.000000
Qwen3.5-0.8B,Q8_0,down_proj,3584,1024,2.5051,0.6009,0.06,1.000000
Qwen3.5-0.8B,INT8,g_q_proj,1024,2048,1.4604,0.2653,0.12,1.000000
Qwen3.5-0.8B,INT8,g_k_proj,1024,2048,1.2618,0.2599,0.10,1.000000
Qwen3.5-0.8B,INT8,g_v_proj,1024,2048,1.2628,0.2625,0.10,1.000000
Qwen3.5-0.8B,INT8,g_o_proj,2048,1024,1.6729,0.3856,0.07,1.000000
Qwen3.5-0.8B,INT8,f_q_proj,1024,2048,1.1321,0.2638,0.09,1.000000
Qwen3.5-0.8B,INT8,f_k_proj,1024,512,1.0974,0.2725,0.09,1.000000
Qwen3.5-0.8B,INT8,f_v_proj,1024,512,1.0254,0.2569,0.09,1.000000
Qwen3.5-0.8B,INT8,f_o_proj,2048,1024,1.5337,0.3852,0.07,1.000000
Qwen3.5-0.8B,INT8,gate_proj,1024,3584,1.3222,0.2662,0.11,1.000000
Qwen3.5-0.8B,INT8,up_proj,1024,3584,1.2069,0.2617,0.10,1.000000
Qwen3.5-0.8B,INT8,down_proj,3584,1024,1.9883,0.4937,0.05,1.000000
Qwen3.5-0.8B,INT4,g_q_proj,1024,2048,24.9519,5.2724,2.02,0.999984
Qwen3.5-0.8B,INT4,g_k_proj,1024,2048,24.3840,5.2830,1.98,0.999983
Qwen3.5-0.8B,INT4,g_v_proj,1024,2048,25.6161,5.1753,2.05,0.999983
