model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,1285.907,1381.846,7.5,1.52,0.20
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,2833.224,3017.289,6.5,1.04,0.19
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,1772.061,2041.388,15.2,1.16,1.18
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,797.252,944.026,18.4,1.84,0.33
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,2844.474,3308.440,16.3,1.04,0.18
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,971.266,1137.936,17.2,1.51,0.27
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,2832.651,3104.531,9.6,1.04,0.19
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,4470.491,4583.149,2.5,1.10,0.23
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,307.609,452.715,47.2,3.17,0.43
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,767.305,1308.147,70.5,1.93,0.34
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,382.402,505.060,32.1,2.69,2.74
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,299.328,331.464,10.7,2.45,0.44
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,589.489,780.326,32.4,2.50,0.44
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,375.944,448.914,19.4,1.95,0.35
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,670.896,1027.465,53.1,2.19,0.39
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,1401.221,1568.047,11.9,1.75,0.37
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,5.833,5.990,2.7,5.23,0.70
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,9.688,10.000,3.2,7.88,0.85
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,28.490,29.167,2.4,4.82,1.15
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,6.562,6.771,3.2,3.49,0.62
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,10.313,10.573,2.5,5.92,0.79
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,8.333,9.844,18.1,2.75,0.49
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,11.511,11.771,2.3,5.30,0.71
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,12.344,12.656,2.5,8.65,1.33
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,4.011,4.115,2.6,3.80,0.51
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,5.469,5.625,2.9,6.98,0.75
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,18.438,19.115,3.7,3.72,0.89
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,4.323,4.427,2.4,2.65,0.47
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,6.614,6.771,2.4,4.61,0.62
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,5.104,5.313,4.1,2.24,0.40
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,7.396,7.500,1.4,4.13,0.55
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,6.771,6.927,2.3,7.89,1.21
