sustained_model,sustained_kernel,dispatch_path,elapsed_s,throughput_gibs,thermal_c,vs_first_pct
Qwen3.5-4B,gdn_gated_scan,neon,5.0,0.77,51.0,0.0
Qwen3.5-4B,gdn_gated_scan,neon,10.0,0.77,51.0,-0.5
Qwen3.5-4B,gdn_gated_scan,neon,15.0,0.77,51.0,-0.3
Qwen3.5-4B,gdn_gated_scan,neon,20.0,0.77,51.0,-0.4
Qwen3.5-4B,gdn_gated_scan,neon,25.0,0.77,51.0,-0.2
Qwen3.5-4B,gdn_gated_scan,neon,30.0,0.76,51.5,-0.9
Qwen3.5-4B,gdn_gated_scan,neon,35.0,0.77,51.5,-0.2
Qwen3.5-4B,gdn_gated_scan,neon,40.0,0.76,51.5,-0.8
Qwen3.5-4B,gdn_gated_scan,neon,45.0,0.77,51.5,-0.3
Qwen3.5-4B,gdn_gated_scan,neon,50.0,0.77,51.5,-0.4
Qwen3.5-4B,gdn_gated_scan,neon,55.0,0.76,51.5,-0.9
Qwen3.5-4B,gdn_gated_scan,neon,60.0,0.76,51.5,-0.8
Qwen3.5-4B,gdn_gated_scan,neon,65.0,0.76,52.0,-0.6
Qwen3.5-4B,gdn_gated_scan,neon,70.0,0.76,52.0,-0.8
Qwen3.5-4B,gdn_gated_scan,neon,75.0,0.76,51.5,-0.6
Qwen3.5-4B,gdn_gated_scan,neon,80.0,0.76,52.0,-1.0
Qwen3.5-4B,gdn_gated_scan,neon,85.0,0.76,52.0,-1.0
Qwen3.5-4B,gdn_gated_scan,neon,90.0,0.76,52.0,-1.2
Qwen3.5-4B,gdn_gated_scan,neon,95.0,0.76,52.5,-1.2
Qwen3.5-4B,gdn_gated_scan,neon,100.0,0.76,52.0,-0.9
Qwen3.5-4B,gdn_gated_scan,neon,105.0,0.76,52.0,-1.0
Qwen3.5-4B,gdn_gated_scan,neon,110.0,0.76,52.5,-0.9
Qwen3.5-4B,gdn_gated_scan,neon,115.0,0.76,52.5,-1.0
Qwen3.5-4B,gdn_gated_scan,neon,120.0,0.76,52.0,-0.9
