model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,511.834,588.189,14.9,3.82,0.51
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,996.792,1050.075,5.3,2.97,0.53
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,570.689,659.493,15.6,3.61,3.67
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,362.300,413.186,14.0,4.04,0.72
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,1007.834,1114.504,10.6,2.92,0.52
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,341.153,375.738,10.1,4.29,0.77
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,1000.959,1059.919,5.9,2.94,0.52
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,249.120,1223.099,391.0,3.92,0.53
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,287.663,961.844,234.4,5.15,0.91
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,191.254,213.078,11.4,5.39,5.48
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,169.795,172.764,1.7,4.31,0.77
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,272.193,370.894,36.3,5.41,0.96
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,166.514,172.608,3.7,4.40,0.79
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,273.287,305.788,11.9,5.39,0.96
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,3.802,4.323,13.7,8.03,1.08
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,4.479,5.053,12.8,17.03,1.83
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,9.219,9.324,1.1,14.90,3.55
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,4.115,4.166,1.2,5.56,1.00
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,5.313,5.469,2.9,11.49,1.54
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,4.219,4.792,13.6,5.42,0.97
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,5.573,5.729,2.8,10.95,1.47
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,3.177,3.802,19.7,4.80,0.64
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,4.063,4.167,2.6,9.39,1.01
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,7.604,7.865,3.4,9.03,2.15
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,3.178,3.594,13.1,3.60,0.64
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,4.375,4.427,1.2,6.98,0.94
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,3.906,4.011,2.7,2.93,0.52
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,4.427,4.480,1.2,6.89,0.93
