model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,507.928,1036.534,104.1,3.85,0.52
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,1001.012,1049.555,4.8,2.96,0.52
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,562.669,737.725,31.1,3.66,3.73
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,348.185,384.175,10.3,4.21,0.75
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,1001.065,1092.108,9.1,2.94,0.52
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,352.456,439.489,24.7,4.16,0.74
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,987.939,1042.680,5.5,2.98,0.53
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,1665.767,1754.728,5.3,2.95,0.63
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,203.651,297.663,46.2,4.80,0.64
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,267.037,309.382,15.9,5.54,0.98
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,192.296,207.922,8.1,5.36,5.45
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,171.618,175.212,2.1,4.27,0.76
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,265.162,294.069,10.9,5.55,0.99
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,168.285,264.746,57.3,4.35,0.78
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,270.266,289.954,7.3,5.45,0.97
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,442.093,471.209,6.6,5.56,1.19
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,3.646,3.906,7.1,8.37,1.12
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,5.052,5.208,3.1,15.10,1.62
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,9.948,10.261,3.1,13.80,3.29
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,4.011,4.063,1.3,5.71,1.02
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,5.104,5.156,1.0,11.96,1.61
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,4.114,4.531,10.1,5.56,1.00
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,5.313,24.167,354.9,11.49,1.54
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,6.302,6.510,3.3,16.95,2.60
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,3.177,3.230,1.7,4.80,0.64
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,4.375,36.199,727.4,8.72,0.94
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,8.021,8.281,3.2,8.56,2.04
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,3.126,3.282,5.0,3.66,0.66
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,4.167,4.219,1.2,7.32,0.98
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,3.750,3.906,4.2,3.05,0.55
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,4.219,4.271,1.2,7.23,0.97
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,4.687,4.844,3.3,11.39,1.75
