sustained_model,sustained_kernel,dispatch_path,elapsed_s,throughput_gibs,thermal_c,vs_first_pct
Qwen3.5-4B,gdn_gated_scan,neon,5.0,2.80,52.5,0.0
Qwen3.5-4B,gdn_gated_scan,neon,10.0,2.84,53.0,1.3
Qwen3.5-4B,gdn_gated_scan,neon,15.0,2.80,53.5,-0.1
Qwen3.5-4B,gdn_gated_scan,neon,20.0,2.83,53.5,0.9
Qwen3.5-4B,gdn_gated_scan,neon,25.0,2.81,53.5,0.3
Qwen3.5-4B,gdn_gated_scan,neon,30.0,2.83,54.0,0.9
Qwen3.5-4B,gdn_gated_scan,neon,35.0,2.77,54.0,-1.3
Qwen3.5-4B,gdn_gated_scan,neon,40.0,2.85,54.5,1.8
Qwen3.5-4B,gdn_gated_scan,neon,45.0,2.79,55.0,-0.5
Qwen3.5-4B,gdn_gated_scan,neon,50.0,2.80,55.0,-0.1
Qwen3.5-4B,gdn_gated_scan,neon,55.0,2.78,55.0,-0.8
Qwen3.5-4B,gdn_gated_scan,neon,60.0,2.83,55.5,0.9
Qwen3.5-4B,gdn_gated_scan,neon,65.0,2.78,55.5,-0.8
Qwen3.5-4B,gdn_gated_scan,neon,70.0,2.84,56.5,1.3
Qwen3.5-4B,gdn_gated_scan,neon,75.0,2.79,56.0,-0.4
Qwen3.5-4B,gdn_gated_scan,neon,80.0,2.76,56.5,-1.5
Qwen3.5-4B,gdn_gated_scan,neon,85.0,2.68,56.5,-4.4
Qwen3.5-4B,gdn_gated_scan,neon,90.0,2.71,57.0,-3.4
Qwen3.5-4B,gdn_gated_scan,neon,95.0,2.66,57.0,-5.1
Qwen3.5-4B,gdn_gated_scan,neon,100.0,2.69,57.5,-3.9
Qwen3.5-4B,gdn_gated_scan,neon,105.0,2.65,57.5,-5.5
Qwen3.5-4B,gdn_gated_scan,neon,110.0,2.66,57.5,-5.0
Qwen3.5-4B,gdn_gated_scan,neon,115.0,2.65,58.0,-5.3
Qwen3.5-4B,gdn_gated_scan,neon,120.0,2.71,58.0,-3.4
