model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,1696.336,1911.757,12.7,1.15,0.15
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,4062.373,4443.422,9.4,0.73,0.13
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,1987.591,2143.324,7.8,1.04,1.06
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,1262.160,1395.913,10.6,1.16,0.21
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,4156.073,4741.136,14.1,0.71,0.13
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,1061.323,1224.608,15.4,1.38,0.25
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,4019.403,4430.661,10.2,0.73,0.13
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,492.405,577.355,17.3,1.98,0.27
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,889.653,1350.079,51.8,1.66,0.29
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,518.187,814.287,57.1,1.99,2.02
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,511.104,542.042,6.1,1.43,0.26
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,898.820,1426.435,58.7,1.64,0.29
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,475.165,670.066,41.0,1.54,0.28
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,879.288,1089.918,24.0,1.67,0.30
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,6.615,6.823,3.1,4.61,0.62
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,10.209,10.469,2.5,7.47,0.80
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,29.427,30.678,4.3,4.67,1.11
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,10.729,11.302,5.3,2.13,0.38
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,13.906,14.219,2.3,4.39,0.59
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,7.344,7.604,3.5,3.12,0.56
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,11.355,11.719,3.2,5.38,0.72
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,4.167,4.323,3.7,3.66,0.49
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,4.791,5.156,7.6,7.96,0.85
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,12.240,12.500,2.1,5.61,1.34
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,5.834,6.041,3.5,1.96,0.35
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,7.240,7.448,2.9,4.22,0.57
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,4.167,4.271,2.5,2.75,0.49
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,6.094,6.198,1.7,5.01,0.67
