timestamp_ms,power_in_mw,power_gpu_mw,power_cpu_mw,temp_milliC
23,2051,0,615,51500
149,2876,0,1107,52000
275,2876,0,1066,52000
401,2871,0,1066,52000
527,2917,0,1107,52000
655,2871,0,1107,52000
781,2871,0,1066,52000
907,2871,0,1066,52000
1033,2958,0,1148,52000
1160,2876,0,1066,52000
1285,2876,0,1066,52000
1411,2876,0,1066,52000
1537,3158,0,1271,52000
1664,2917,0,1148,52000
1790,2871,0,1066,52000
1916,2835,0,1066,52000
2042,2830,0,1066,52500
2168,2917,0,1107,52000
2294,2876,0,1066,52000
2420,2835,0,1066,52000
2547,2871,0,1066,52500
2674,2871,0,1066,52500
2800,2876,0,1066,52500
2926,2830,0,1025,52000
3052,2876,0,1066,52500
3178,2876,0,1066,52500
3304,2871,0,1066,52500
3430,2830,0,1066,52000
3556,2876,0,1107,52500
3682,2876,0,1066,52000
3808,2871,0,1107,52500
3934,2953,0,1107,52500
4061,2871,0,1189,52500
4187,2871,0,1107,52500
4313,2871,0,1066,52500
4440,2876,0,1107,52500
4566,2917,0,1107,52500
4693,2871,0,1107,52500
4819,2876,0,1066,52000
4945,2835,0,1066,52500
5071,2835,0,1066,52500
5197,2835,0,1066,52500
5323,2876,0,1066,52000
5450,2912,0,1066,52500
5576,2871,0,1066,52500
5702,2871,0,1107,52000
5828,2871,0,1066,52500
5954,2830,0,1066,52500
6081,3117,0,1271,52000
6206,2871,0,1066,52500
6332,2871,0,1066,52500
6458,2917,0,1107,52500
6584,2876,0,1107,52500
6710,2912,0,1107,52500
6836,2876,0,1066,52500
6962,2876,0,1066,52500
7088,2876,0,1107,52500
7214,2830,0,1066,52000
7340,2871,0,1066,52500
7466,2917,0,1107,52500
7592,2876,0,1066,52500
7719,2958,0,1271,52500
7846,2917,0,1107,52500
7971,2871,0,1066,52500
8097,3035,0,1230,52500
8223,2871,0,1066,52500
8349,2871,0,1066,52500
8475,3199,0,1312,52500
8601,2917,0,1066,52500
8727,2876,0,1066,52500
8853,2830,0,1066,52500
8981,2835,0,1066,52500
9107,2917,0,1066,52500
9233,2917,0,1107,52500
9359,2830,0,1066,52500
9485,2917,0,1066,52000
9611,2835,0,1066,52000
9737,2958,0,1107,52500
9863,2876,0,1066,52500
9989,2876,0,1066,52500
10116,2994,0,1189,52500
10242,2876,0,1066,52500
10369,2876,0,1066,52500
10495,2958,0,1148,52500
10621,2876,0,1066,52500
10746,2871,0,1066,52500
10873,2876,0,1066,52500
10999,3035,0,1189,52000
11125,2876,0,1066,52000
11251,3158,82,1189,52500
11377,2953,82,1066,52500
11503,2999,82,1107,52500
11630,2958,82,1066,52500
11756,2999,41,1107,52500
11882,2876,0,1066,52500
12008,2876,0,1066,52500
12134,2953,0,1107,52500
12260,2830,0,1066,52500
12386,2871,0,1066,52500
12512,2912,0,1148,52500
12638,2871,0,1066,52500
12764,2876,0,1066,52000
12891,2830,0,1066,52500
13017,2876,0,1107,52500
13143,2876,0,1066,52500
13274,2835,0,1066,52500
13400,2835,0,1066,52500
13526,2953,0,1107,52500
13652,2876,0,1066,53000
13778,2912,0,1066,52500
13904,2876,0,1066,52500
14031,2876,0,1107,52500
14157,2953,0,1107,52500
14283,2917,0,1066,52500
14409,2876,0,1066,52500
14535,2917,0,1107,52500
14661,2876,0,1066,52500
14787,2876,0,1066,52500
14914,2830,0,1066,52500
15039,2830,0,1066,52500
15165,2830,0,1066,52500
15291,2830,0,1066,52500
15418,2871,0,1025,52500
15543,2917,0,1107,52500
15670,2871,0,1066,52500
15796,2871,0,1107,52500
15922,2835,0,1066,52500
16049,2835,0,1066,52500
16175,2871,0,1066,52500
16302,2953,0,1107,53000
16428,2830,0,1066,52500
16555,3158,0,1271,52500
16683,2917,0,1107,52500
16809,2917,0,1107,52500
16935,2876,0,1066,52500
17061,2958,0,1148,53000
17187,2876,0,1066,52500
17313,2876,0,1066,52500
17439,2871,0,1066,52500
17566,2912,0,1107,52500
17699,2958,0,1148,52500
17826,2917,0,1107,52500
17952,2876,0,1107,53000
18080,3076,0,1230,52500
18206,2876,0,1066,52500
18332,2871,0,1066,52500
18466,3117,0,1435,52500
18592,3281,0,1353,52500
18718,2917,0,1107,53000
18844,2876,0,1066,53000
18971,2876,0,1066,53000
19097,2876,0,1066,52500
19223,2917,0,1066,52500
19350,2876,0,1066,52500
19476,2871,0,1066,52500
19602,2876,0,1066,52500
19728,2999,0,1148,52500
19854,2871,0,1107,53000
