kernel,shape,seq,channels,repeats,p50_us,gib_per_s_p50
cumdecay,64x160,64,160,30,13.072,5.84
cumdecay,1x160,1,160,30,0.260,4.58
cumdecay,64x2560,64,2560,30,420.417,2.90
cumdecay,1x2560,1,2560,30,2.136,8.93
gated_scan,64x160,64,160,30,18.333,6.31
gated_scan,1x160,1,160,30,0.313,9.52
gated_scan,64x2560,64,2560,30,872.968,2.12
gated_scan,1x2560,1,2560,30,3.594,13.27
dwconv1d,64x160,64,160,30,17.552,4.69
dwconv1d,1x160,1,160,30,0.677,10.57
dwconv1d,64x2560,64,2560,30,567.395,2.32
dwconv1d,1x2560,1,2560,30,9.687,11.81
gemv,K128_N128,0,128,30,13.438,4.61
gemv,K128_N2048,0,2048,30,209.167,4.71
gemv,K128_N2560,0,2560,30,301.823,4.08
