kernel,shape,seq,channels,repeats,p50_us,gib_per_s_p50
cumdecay,64x160,64,160,30,2.721,28.04
cumdecay,1x160,1,160,30,0.050,24.04
cumdecay,64x2560,64,2560,30,121.949,10.01
cumdecay,1x2560,1,2560,30,0.747,25.54
gated_scan,64x160,64,160,30,4.325,26.73
gated_scan,1x160,1,160,30,0.067,44.43
gated_scan,64x2560,64,2560,30,173.784,10.65
gated_scan,1x2560,1,2560,30,1.030,46.31
dwconv1d,64x160,64,160,30,5.235,15.71
dwconv1d,1x160,1,160,30,0.125,57.03
dwconv1d,64x2560,64,2560,30,159.273,8.26
dwconv1d,1x2560,1,2560,30,2.762,41.43
gemv,K128_N128,0,128,30,3.445,18.00
gemv,K128_N2048,0,2048,30,58.418,16.86
gemv,K128_N2560,0,2560,30,74.241,16.58
