shape,impl,M,K,N,us_per_call,GiB_s,GFLOP_s
decode_1x128x128,naive,1,128,128,14.690,4.22,2.23
decode_1x128x128,neon,1,128,128,3.383,18.32,9.69
decode_1x128x128,kleidiai,1,128,128,1.867,33.21,17.55
prefill_64x128x128,naive,64,128,128,942.181,0.13,2.23
prefill_64x128x128,neon,64,128,128,217.068,0.56,9.66
prefill_64x128x128,kleidiai,64,128,128,60.667,2.01,34.57
decode_1x128x2048,naive,1,128,2048,722.361,1.36,0.73
decode_1x128x2048,neon,1,128,2048,52.908,18.61,9.91
decode_1x128x2048,kleidiai,1,128,2048,32.803,30.02,15.98
prefill_64x128x2048,naive,64,128,2048,45479.224,0.03,0.74
prefill_64x128x2048,neon,64,128,2048,3444.535,0.43,9.74
prefill_64x128x2048,kleidiai,64,128,2048,970.151,1.54,34.59
