model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,278.561,297.229,6.7,7.01,0.94
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,962.858,1034.613,7.5,3.07,0.54
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,342.441,357.025,4.3,6.02,6.12
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,168.886,225.474,33.5,8.67,1.55
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,947.107,1049.781,10.8,3.11,0.55
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,264.268,385.027,45.7,5.54,0.99
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,957.024,1005.445,5.1,3.08,0.55
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,2843.364,3006.417,5.7,1.73,0.37
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,128.634,141.760,10.2,7.59,1.02
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,181.138,192.221,6.1,8.17,1.45
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,136.509,142.052,4.1,7.55,7.68
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,82.256,86.048,4.6,8.90,1.59
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,180.262,187.554,4.0,8.17,1.45
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,123.675,125.717,1.7,5.92,1.06
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,180.846,190.471,5.3,8.14,1.45
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,336.023,346.816,3.2,7.31,1.56
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.459,1.751,20.0,20.92,2.81
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,2.042,2.334,14.3,37.36,4.01
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,6.126,6.418,4.8,22.42,5.35
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,1.750,1.751,0.1,13.08,2.34
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,2.625,2.917,11.1,23.25,3.12
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,2.917,2.917,0.0,7.85,1.40
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,3.792,4.084,7.7,16.10,2.16
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,3.208,3.209,0.0,33.30,5.11
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,0.875,1.167,33.4,17.44,2.34
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.167,1.459,25.0,32.69,3.51
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,2.917,2.917,0.0,23.54,5.62
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,1.166,1.167,0.1,9.82,1.76
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.459,1.750,20.0,20.92,2.81
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.750,1.751,0.1,6.54,1.17
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,2.042,2.333,14.3,14.95,2.01
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.750,1.751,0.1,30.52,4.68
