model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,92.173,98.298,6.6,21.19,2.84
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,282.060,298.395,5.8,10.49,1.86
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,98.006,105.882,8.0,21.02,21.40
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,42.295,44.337,4.8,34.63,6.20
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,280.310,288.186,2.8,10.51,1.87
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,59.212,59.504,0.5,24.74,4.43
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,273.601,280.602,2.6,10.76,1.92
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,741.174,843.265,13.8,6.63,1.41
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,36.461,36.752,0.8,26.78,3.59
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,127.759,130.384,2.1,11.59,2.05
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,51.045,51.920,1.7,20.18,20.54
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,20.126,20.418,1.5,36.39,6.51
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,128.925,132.134,2.5,11.42,2.03
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,30.044,30.627,1.9,24.38,4.36
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,128.925,131.550,2.0,11.42,2.03
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,321.438,326.397,1.5,7.64,1.63
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.035,1.044,0.8,29.47,3.96
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,1.386,1.403,1.3,55.07,5.91
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,3.293,3.325,1.0,41.70,9.95
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,1.070,1.088,1.6,21.38,3.83
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,1.342,1.348,0.4,45.49,6.11
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,1.324,1.327,0.2,17.28,3.09
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,1.671,1.698,1.6,36.52,4.90
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,1.861,1.878,0.9,57.40,8.80
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,0.884,0.890,0.7,17.26,2.32
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.012,1.027,1.4,37.69,4.05
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,2.118,2.141,1.1,32.43,7.74
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,0.895,0.898,0.3,12.78,2.29
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.088,1.100,1.1,28.05,3.76
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.073,1.082,0.8,10.66,1.91
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,1.219,1.228,0.7,25.03,3.36
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.155,1.164,0.8,46.24,7.09
