model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,84.297,89.547,6.2,23.17,3.11
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,286.436,310.062,8.2,10.33,1.83
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,96.548,103.840,7.6,21.34,21.72
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,40.544,41.711,2.9,36.13,6.47
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,293.436,317.064,8.1,10.04,1.79
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,60.088,63.296,5.3,24.38,4.36
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,287.894,307.146,6.7,10.23,1.82
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,543.411,590.082,8.6,9.04,1.93
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,37.920,40.544,6.9,25.75,3.46
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,95.965,100.924,5.2,15.42,2.73
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,34.419,35.003,1.7,29.92,30.46
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,21.585,21.877,1.4,33.93,6.07
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,95.965,100.340,4.6,15.34,2.73
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,29.168,30.919,6.0,25.11,4.49
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,96.840,98.881,2.1,15.21,2.71
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,237.433,251.142,5.8,10.35,2.21
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.166,1.167,0.1,26.17,3.51
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,1.458,1.459,0.1,52.33,5.62
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,2.625,2.917,11.1,52.32,12.48
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,1.167,1.167,0.0,19.61,3.51
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,1.458,1.459,0.1,41.86,5.62
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,1.458,1.459,0.1,15.70,2.81
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,1.750,1.751,0.1,34.88,4.68
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,1.750,1.750,0.0,61.04,9.36
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,0.875,1.167,33.4,17.44,2.34
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.166,1.167,0.1,32.72,3.51
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,2.041,2.042,0.1,33.64,8.03
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,0.875,1.167,33.4,13.08,2.34
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.167,1.167,0.0,26.15,3.51
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.167,1.167,0.0,9.81,1.76
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,1.167,1.459,25.0,26.15,3.51
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.167,1.167,0.0,45.77,7.02
