model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,81.964,95.674,16.7,23.83,3.20
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,268.061,287.020,7.1,11.04,1.96
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,98.591,113.175,14.8,20.89,21.27
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,40.837,41.712,2.1,35.87,6.42
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,263.102,284.687,8.2,11.19,1.99
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,59.212,61.546,3.9,24.74,4.43
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,261.935,277.103,5.8,11.24,2.00
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,707.634,806.515,14.0,6.94,1.48
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,32.085,32.669,1.8,30.44,4.09
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,125.718,133.301,6.0,11.77,2.09
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,60.963,62.712,2.9,16.89,17.20
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,17.793,18.085,1.6,41.16,7.37
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,129.217,135.051,4.5,11.40,2.03
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,28.002,28.294,1.0,26.16,4.68
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,129.801,135.343,4.3,11.34,2.02
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,280.895,297.812,6.0,8.75,1.87
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.459,1.750,20.0,20.92,2.81
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,1.751,2.042,16.6,43.57,4.68
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,3.792,4.084,7.7,36.22,8.64
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,1.750,1.751,0.1,13.08,2.34
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,1.750,2.042,16.7,34.87,4.68
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,1.751,2.042,16.6,13.07,2.34
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,2.042,2.334,14.3,29.89,4.01
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,2.333,2.625,12.5,45.78,7.02
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,1.458,1.459,0.1,10.46,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.459,1.750,20.0,26.15,2.81
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,2.334,2.625,12.5,29.42,7.02
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,1.458,1.459,0.1,7.85,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.459,1.750,19.9,20.91,2.81
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.459,1.750,19.9,7.84,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,1.750,2.041,16.6,17.44,2.34
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.750,1.751,0.1,30.52,4.68
