model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,263.978,277.103,5.0,7.40,0.99
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,522.412,560.915,7.4,5.67,1.00
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,292.563,305.105,4.3,7.04,7.17
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,170.053,172.679,1.5,8.61,1.54
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,520.371,545.748,4.9,5.66,1.01
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,243.559,248.226,1.9,6.01,1.08
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,519.495,544.873,4.9,5.67,1.01
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,1534.277,1559.945,1.7,3.20,0.68
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,119.883,120.759,0.7,8.15,1.09
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,213.515,225.766,5.7,6.93,1.23
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,151.094,157.803,4.4,6.82,6.94
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,78.172,79.339,1.5,9.37,1.68
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,213.516,227.516,6.6,6.90,1.23
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,133.593,137.677,3.1,5.48,0.98
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,214.973,217.891,1.4,6.85,1.22
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,390.278,403.695,3.4,6.29,1.34
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.750,2.042,16.7,17.44,2.34
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,2.333,2.334,0.0,32.70,3.51
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,9.043,9.334,3.2,15.19,3.62
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,2.042,2.042,0.0,11.21,2.01
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,2.625,2.917,11.1,23.25,3.12
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,2.917,2.917,0.0,7.85,1.40
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,4.083,4.084,0.0,14.95,2.01
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,3.500,3.792,8.3,30.52,4.68
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,1.167,1.458,24.9,13.08,1.76
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.459,1.750,19.9,26.15,2.81
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,2.625,2.917,11.1,26.16,6.24
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,1.458,1.459,0.1,7.85,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.750,1.751,0.1,17.44,2.34
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.750,1.751,0.1,6.54,1.17
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,2.334,2.625,12.5,13.08,1.76
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.750,1.751,0.1,30.52,4.68
