model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,360.817,408.070,13.1,5.41,0.73
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,785.222,938.941,19.6,3.77,0.67
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,415.946,447.157,7.5,4.95,5.04
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,219.349,243.267,10.9,6.68,1.20
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,810.308,894.897,10.4,3.63,0.65
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,246.184,276.520,12.3,5.95,1.06
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,779.097,935.733,20.1,3.78,0.67
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,3025.673,3191.059,5.5,1.62,0.35
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,155.469,161.011,3.6,6.28,0.84
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,268.936,298.688,11.1,5.50,0.97
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,174.429,187.263,7.4,5.90,6.01
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,101.799,102.966,1.1,7.19,1.29
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,269.228,292.271,8.6,5.47,0.97
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,115.508,117.259,1.5,6.34,1.13
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,268.644,316.189,17.7,5.48,0.98
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,611.085,705.883,15.5,4.02,0.86
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,3.792,4.084,7.7,8.05,1.08
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,5.542,5.834,5.3,13.77,1.48
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,13.709,14.001,2.1,10.02,2.39
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,4.667,4.959,6.3,4.90,0.88
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,5.542,5.542,0.0,11.01,1.48
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,5.250,5.251,0.0,4.36,0.78
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,6.125,6.417,4.8,9.96,1.34
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,10.209,10.210,0.0,10.46,1.60
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,3.792,3.792,0.0,4.02,0.54
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,4.376,4.667,6.7,8.72,0.94
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,9.917,9.918,0.0,6.92,1.65
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,4.083,4.084,0.0,2.80,0.50
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,4.375,4.376,0.0,6.98,0.94
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,4.084,4.375,7.1,2.80,0.50
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,4.376,4.667,6.7,6.97,0.94
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,6.709,6.709,0.0,7.96,1.22
