model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,1349.929,1412.351,4.6,1.45,0.19
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,3604.091,3864.277,7.2,0.82,0.15
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,1722.414,1874.384,8.8,1.20,1.22
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,882.647,924.650,4.8,1.66,0.30
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,3588.923,3750.227,4.5,0.82,0.15
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,963.152,982.987,2.1,1.52,0.27
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,3578.715,3814.689,6.6,0.82,0.15
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,9267.495,9412.756,1.6,0.53,0.11
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,591.834,619.253,4.6,1.65,0.22
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,1001.363,1025.282,2.4,1.48,0.26
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,668.840,696.258,4.1,1.54,1.57
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,393.195,419.447,6.7,1.86,0.33
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,1014.197,1056.492,4.2,1.45,0.26
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,451.241,471.950,4.6,1.62,0.29
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,1011.864,1052.117,4.0,1.46,0.26
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,2566.559,2904.624,13.2,0.96,0.20
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,7.000,7.293,4.2,4.36,0.59
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,16.626,16.918,1.8,4.59,0.49
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,53.962,54.546,1.1,2.54,0.61
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,8.167,9.334,14.3,2.80,0.50
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,14.001,14.293,2.1,4.36,0.59
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,9.918,10.209,2.9,2.31,0.41
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,16.626,16.918,1.8,3.67,0.49
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,33.544,33.836,0.9,3.18,0.49
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,4.375,4.376,0.0,3.49,0.47
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,7.292,7.293,0.0,5.23,0.56
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,28.293,29.752,5.2,2.43,0.58
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,4.959,5.251,5.9,2.31,0.41
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,6.709,6.709,0.0,4.55,0.61
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,6.125,6.126,0.0,1.87,0.33
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,7.876,8.168,3.7,3.87,0.52
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,16.043,16.335,1.8,3.33,0.51
