model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,267.477,282.353,5.6,7.30,0.98
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,557.996,630.918,13.1,5.31,0.94
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,296.062,314.438,6.2,6.96,7.08
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,172.970,190.763,10.3,8.47,1.52
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,552.163,604.082,9.4,5.33,0.95
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,247.350,277.394,12.1,5.92,1.06
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,553.329,587.457,6.2,5.32,0.95
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,1150.120,1270.586,10.5,4.27,0.91
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,130.675,136.217,4.2,7.47,1.00
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,185.804,202.139,8.8,7.97,1.41
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,123.675,127.467,3.1,8.33,8.48
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,81.673,83.423,2.1,8.97,1.60
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,186.971,204.764,9.5,7.88,1.40
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,120.758,127.175,5.3,6.07,1.09
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,188.721,207.973,10.2,7.80,1.39
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,310.354,328.730,5.9,7.92,1.69
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.750,2.042,16.7,17.44,2.34
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,2.333,2.334,0.0,32.70,3.51
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,6.417,6.418,0.0,21.40,5.11
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,2.042,2.042,0.0,11.21,2.01
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,2.916,2.917,0.0,20.93,2.81
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,2.625,2.917,11.1,8.72,1.56
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,4.083,4.084,0.0,14.95,2.01
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,2.917,3.209,10.0,36.62,5.62
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,1.167,1.459,25.0,13.08,1.76
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.458,1.459,0.1,26.16,2.81
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,3.208,3.209,0.0,21.40,5.11
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,1.458,1.459,0.1,7.85,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.750,1.751,0.1,17.44,2.34
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.750,1.751,0.1,6.54,1.17
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,2.333,2.334,0.0,13.08,1.76
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.750,1.751,0.1,30.52,4.68
