model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,270.977,292.270,7.9,7.21,0.97
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,559.456,622.167,11.2,5.29,0.94
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,324.355,352.650,8.7,6.35,6.47
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,171.512,176.179,2.7,8.54,1.53
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,558.580,688.964,23.3,5.27,0.94
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,247.058,315.897,27.9,5.93,1.06
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,548.663,660.087,20.3,5.37,0.96
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,1179.873,1318.132,11.7,4.16,0.89
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,123.966,127.176,2.6,7.88,1.06
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,208.264,221.390,6.3,7.11,1.26
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,131.259,140.593,7.1,7.85,7.99
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,78.172,80.214,2.6,9.37,1.68
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,209.723,221.973,5.8,7.02,1.25
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,129.509,130.967,1.1,5.66,1.01
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,212.056,225.182,6.2,6.94,1.24
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,324.064,340.107,5.0,7.58,1.62
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.750,2.042,16.7,17.44,2.34
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,2.333,2.334,0.0,32.70,3.51
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,7.001,7.292,4.2,19.62,4.68
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,2.042,2.042,0.0,11.21,2.01
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,2.916,2.917,0.0,20.93,2.81
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,2.626,2.917,11.1,8.72,1.56
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,4.083,4.084,0.0,14.95,2.01
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,2.917,3.209,10.0,36.62,5.62
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,1.167,1.459,25.0,13.08,1.76
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.459,1.750,19.9,26.15,2.81
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,2.917,3.208,10.0,23.54,5.62
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,1.458,1.459,0.1,7.85,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.750,1.751,0.1,17.44,2.34
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.750,1.751,0.1,6.54,1.17
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,2.333,2.334,0.0,13.08,1.76
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.750,1.751,0.1,30.52,4.68
