test,model,num_keys,accuracy,param,param_value
capacity,gdn1,8,1.000000,,
capacity,gdn2,8,1.000000,,
capacity,gdn1,16,1.000000,,
capacity,gdn2,16,1.000000,,
capacity,gdn1,32,1.000000,,
capacity,gdn2,32,1.000000,,
capacity,gdn1,64,1.000000,,
capacity,gdn2,64,1.000000,,
capacity,gdn1,96,1.000000,,
capacity,gdn2,96,1.000000,,
capacity,gdn1,128,1.000000,,
capacity,gdn2,128,1.000000,,
capacity,gdn1,160,0.981250,,
capacity,gdn2,160,0.981250,,
capacity,gdn1,192,0.947917,,
capacity,gdn2,192,0.947917,,
capacity,gdn1,256,0.769531,,
capacity,gdn2,256,0.769531,,
decay,gdn1,64,1.000000,decay,0.0
decay,gdn2,64,1.000000,decay,0.0
decay,gdn1,64,1.000000,decay,0.001
decay,gdn2,64,1.000000,decay,0.001
decay,gdn1,64,1.000000,decay,0.005
decay,gdn2,64,1.000000,decay,0.005
decay,gdn1,64,1.000000,decay,0.01
decay,gdn2,64,1.000000,decay,0.01
decay,gdn1,64,0.625000,decay,0.05
decay,gdn2,64,0.625000,decay,0.05
decay,gdn1,64,0.343750,decay,0.1
decay,gdn2,64,0.343750,decay,0.1
equivalence,gdn1_vs_gdn2,32,,max_abs_diff,0.00e+00
