model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,83.422,85.464,2.4,23.41,3.14
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,256.976,273.894,6.6,11.52,2.04
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,94.215,102.091,8.4,21.86,22.26
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,40.836,41.128,0.7,35.87,6.42
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,256.392,271.269,5.8,11.49,2.04
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,57.171,57.754,1.0,25.62,4.59
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,254.351,266.893,4.9,11.58,2.06
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,688.380,779.970,13.3,7.14,1.52
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,32.378,32.669,0.9,30.16,4.05
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,138.843,145.260,4.6,10.66,1.89
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,56.588,60.671,7.2,18.20,18.53
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,18.376,18.377,0.0,39.86,7.13
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,138.843,152.260,9.7,10.61,1.89
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,27.127,27.419,1.1,27.00,4.83
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,138.551,148.177,6.9,10.63,1.89
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,317.355,326.398,2.8,7.74,1.65
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.459,1.750,20.0,20.92,2.81
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,1.750,2.042,16.7,43.59,4.68
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,3.792,4.376,15.4,36.21,8.64
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,1.750,1.750,0.0,13.08,2.34
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,1.750,2.042,16.7,34.87,4.68
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,1.750,2.042,16.7,13.08,2.34
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,2.042,2.334,14.3,29.89,4.01
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,2.333,2.626,12.6,45.78,7.02
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,1.458,1.459,0.1,10.47,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.459,1.750,20.0,26.15,2.81
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,2.334,2.626,12.5,29.42,7.02
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,1.458,1.459,0.1,7.85,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.459,1.750,19.9,20.91,2.81
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.459,1.751,20.0,7.84,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,1.750,1.751,0.1,17.44,2.34
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.750,1.751,0.1,30.52,4.68
