model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,84.881,86.340,1.7,23.01,3.09
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,260.477,274.478,5.4,11.36,2.01
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,101.799,108.508,6.6,20.24,20.60
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,40.253,45.504,13.0,36.39,6.51
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,259.602,284.686,9.7,11.34,2.02
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,54.546,55.421,1.6,26.86,4.81
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,263.977,270.394,2.4,11.16,1.99
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,671.172,761.594,13.5,7.32,1.56
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,35.586,35.878,0.8,27.44,3.68
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,137.968,148.761,7.8,10.73,1.90
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,70.880,72.630,2.5,14.53,14.79
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,20.126,20.418,1.5,36.39,6.51
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,138.843,148.760,7.1,10.61,1.89
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,30.336,30.919,1.9,24.14,4.32
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,141.177,147.302,4.3,10.43,1.86
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,345.941,348.858,0.8,7.10,1.52
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.459,1.750,19.9,20.91,2.81
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,1.751,2.042,16.6,43.57,4.68
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,3.792,4.084,7.7,36.21,8.64
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,1.750,1.751,0.1,13.08,2.34
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,1.751,2.042,16.6,34.85,4.68
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,1.751,2.042,16.6,13.07,2.34
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,2.042,2.334,14.3,29.89,4.01
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,2.334,2.625,12.5,45.77,7.02
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,1.458,1.459,0.1,10.47,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.459,1.751,20.0,26.15,2.81
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,2.334,2.625,12.5,29.42,7.02
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,1.458,1.750,20.0,7.85,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.459,1.750,19.9,20.91,2.81
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.750,1.750,0.0,6.54,1.17
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,1.750,2.042,16.7,17.44,2.34
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.750,2.042,16.7,30.52,4.68
