model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,270.394,287.602,6.4,7.22,0.97
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,548.370,590.665,7.7,5.40,0.96
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,297.812,322.022,8.1,6.92,7.04
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,173.846,193.388,11.2,8.43,1.51
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,552.454,608.750,10.2,5.33,0.95
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,251.726,301.896,19.9,5.82,1.04
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,547.204,578.414,5.7,5.38,0.96
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,1428.972,1544.189,8.1,3.44,0.73
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,122.508,128.050,4.5,7.97,1.07
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,204.181,214.389,5.0,7.25,1.28
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,142.927,148.468,3.9,7.21,7.34
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,78.172,83.130,6.3,9.37,1.68
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,203.306,220.515,8.5,7.24,1.29
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,132.425,141.759,7.0,5.53,0.99
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,205.056,218.765,6.7,7.18,1.28
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,447.447,478.658,7.0,5.49,1.17
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.750,2.042,16.7,17.44,2.34
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,2.334,2.334,0.0,32.69,3.51
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,9.042,9.334,3.2,15.19,3.62
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,2.042,2.042,0.0,11.21,2.01
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,2.916,2.917,0.0,20.93,2.81
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,2.917,2.917,0.0,7.85,1.40
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,4.083,4.084,0.0,14.95,2.01
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,3.500,3.792,8.3,30.52,4.68
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,1.167,1.459,25.0,13.08,1.76
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.459,1.750,19.9,26.15,2.81
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,2.625,2.917,11.1,26.16,6.24
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,1.458,1.459,0.1,7.85,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.459,1.750,20.0,20.92,2.81
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.750,1.751,0.1,6.54,1.17
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,2.333,2.334,0.0,13.08,1.76
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.750,1.751,0.1,30.52,4.68
