model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,333.981,366.066,9.6,5.85,0.78
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,800.096,876.518,9.6,3.70,0.66
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,415.362,450.072,8.4,4.96,5.05
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,221.682,235.974,6.4,6.61,1.18
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,777.636,838.307,7.8,3.79,0.67
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,247.933,282.645,14.0,5.91,1.06
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,785.512,822.556,4.7,3.75,0.67
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,2912.198,3113.170,6.9,1.69,0.36
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,155.761,157.219,0.9,6.27,0.84
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,256.392,273.019,6.5,5.77,1.02
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,174.137,189.304,8.7,5.91,6.02
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,102.090,102.966,0.9,7.17,1.28
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,255.518,270.977,6.1,5.76,1.03
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,114.632,117.841,2.8,6.39,1.14
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,256.100,271.268,5.9,5.75,1.02
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,563.538,588.915,4.5,4.36,0.93
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,4.083,4.084,0.0,7.47,1.00
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,5.833,5.834,0.0,13.08,1.40
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,14.293,14.585,2.0,9.61,2.29
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,4.667,4.959,6.3,4.90,0.88
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,5.542,5.834,5.3,11.01,1.48
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,5.250,5.251,0.0,4.36,0.78
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,6.417,6.418,0.0,9.51,1.28
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,10.209,10.501,2.9,10.46,1.60
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,4.083,4.084,0.0,3.74,0.50
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,4.667,4.667,0.0,8.17,0.88
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,9.918,10.209,2.9,6.92,1.65
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,4.084,4.084,0.0,2.80,0.50
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,4.376,4.667,6.7,6.97,0.94
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,4.375,4.376,0.0,2.62,0.47
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,4.667,4.959,6.3,6.54,0.88
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,6.709,7.001,4.4,7.96,1.22
