model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,329.023,353.816,7.5,5.94,0.80
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,780.554,860.477,10.2,3.79,0.67
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,411.278,459.115,11.6,5.01,5.10
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,219.349,242.975,10.8,6.68,1.20
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,790.180,896.645,13.5,3.73,0.66
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,246.184,264.269,7.3,5.95,1.06
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,789.305,883.812,12.0,3.73,0.66
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,3191.638,3394.944,6.4,1.54,0.33
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,155.469,160.719,3.4,6.28,0.84
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,256.976,273.311,6.4,5.76,1.02
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,174.137,188.430,8.2,5.91,6.02
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,101.799,102.965,1.1,7.19,1.29
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,255.517,277.686,8.7,5.76,1.03
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,115.508,118.134,2.3,6.34,1.13
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,255.809,274.769,7.4,5.76,1.02
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,618.376,746.719,20.8,3.97,0.85
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,3.792,4.084,7.7,8.05,1.08
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,5.542,5.834,5.3,13.77,1.48
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,14.001,14.293,2.1,9.81,2.34
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,4.667,4.667,0.0,4.90,0.88
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,5.542,5.833,5.3,11.01,1.48
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,4.959,5.251,5.9,4.62,0.83
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,6.126,6.417,4.8,9.96,1.34
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,9.917,10.210,3.0,10.77,1.65
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,3.792,3.792,0.0,4.02,0.54
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,4.376,4.667,6.7,8.72,0.94
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,9.918,10.210,2.9,6.92,1.65
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,3.792,4.084,7.7,3.02,0.54
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,3.791,4.667,23.1,8.05,1.08
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,4.084,4.376,7.1,2.80,0.50
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,4.667,4.667,0.0,6.54,0.88
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,6.709,7.001,4.4,7.96,1.22
