model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,1376.761,1442.098,4.7,1.42,0.19
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,3421.192,3597.078,5.1,0.87,0.15
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,1587.650,1662.613,4.7,1.30,1.32
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,841.516,864.268,2.7,1.74,0.31
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,3473.987,3604.663,3.8,0.85,0.15
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,974.525,1010.694,3.7,1.50,0.27
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,3468.445,3598.829,3.8,0.85,0.15
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,9201.253,9344.762,1.6,0.53,0.11
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,591.541,635.585,7.4,1.65,0.22
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,1009.236,1042.780,3.3,1.47,0.26
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,668.837,686.630,2.7,1.54,1.57
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,392.902,412.736,5.0,1.86,0.33
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,1003.693,1049.488,4.6,1.47,0.26
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,452.114,480.116,6.2,1.62,0.29
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,1012.152,1033.445,2.1,1.45,0.26
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,2753.230,2943.410,6.9,0.89,0.19
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,7.001,7.001,0.0,4.36,0.59
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,15.460,16.043,3.8,4.93,0.53
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,53.962,54.837,1.6,2.54,0.61
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,7.584,7.876,3.8,3.02,0.54
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,14.584,14.876,2.0,4.19,0.56
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,9.625,9.626,0.0,2.38,0.43
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,16.626,16.918,1.8,3.67,0.49
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,33.544,34.128,1.7,3.18,0.49
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,4.375,4.376,0.0,3.49,0.47
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,6.417,6.709,4.5,5.94,0.64
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,27.710,27.711,0.0,2.48,0.59
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,4.958,4.959,0.0,2.31,0.41
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,6.709,6.709,0.0,4.55,0.61
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,5.833,5.834,0.0,1.96,0.35
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,7.584,7.876,3.8,4.02,0.54
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,15.168,15.460,1.9,3.52,0.54
