kernel,dim1,dim2,dim3,p50_ms,p95_ms,bw_mibs
write_blocking,512B,,,0.2581,0,1.9
read_blocking,512B,,,0.2503,0,2.0
roundtrip_blocking,512B,,,0.2074,0,0
write_blocking,1KB,,,0.1015,0,9.6
read_blocking,1KB,,,0.1030,0,9.5
roundtrip_blocking,1KB,,,0.2048,0,0
write_blocking,5KB_hidden_fp16,,,0.1015,0,48.1
read_blocking,5KB_hidden_fp16,,,0.1050,0,46.5
roundtrip_blocking,5KB_hidden_fp16,,,0.2071,0,0
write_blocking,10KB_hidden_fp32,,,0.1027,0,95.1
read_blocking,10KB_hidden_fp32,,,0.1091,0,89.5
roundtrip_blocking,10KB_hidden_fp32,,,0.2118,0,0
write_blocking,50KB,,,0.1076,0,453.7
read_blocking,50KB,,,0.1368,0,356.9
roundtrip_blocking,50KB,,,0.2459,0,0
write_blocking,100KB,,,0.1120,0,871.9
read_blocking,100KB,,,0.1689,0,578.2
roundtrip_blocking,100KB,,,0.2841,0,0
write_blocking,1MB,,,0.2173,0,4601.8
read_blocking,1MB,,,0.8383,0,1192.9
roundtrip_blocking,1MB,,,1.1653,0,0
n_crossings_16,16,,,3.3561,0,0
