phase,ctx_len,layer_idx,layer_type,p50_us,p95_us,mean_us,n_samples
decode,32,0,linear_attention,57659.5,135372.1,78018.3,9
decode,64,0,linear_attention,46855.6,168976.8,80230.7,9
decode,128,0,linear_attention,49280.1,267927.2,110961.4,9
prefill,32,0,linear_attention,134840.1,224420.3,159025.0,3
prefill,64,0,linear_attention,163016.7,181045.1,168225.6,3
prefill,128,0,linear_attention,237951.4,240145.8,231983.8,3
decode,32,1,linear_attention,43867.3,591404.2,172696.4,9
decode,64,1,linear_attention,43515.8,311835.8,126513.7,9
decode,128,1,linear_attention,41773.5,734033.9,194666.3,9
prefill,32,1,linear_attention,263347.6,278342.7,219535.9,3
prefill,64,1,linear_attention,318629.8,322875.3,317052.7,3
prefill,128,1,linear_attention,366951.1,387321.7,371734.4,3
decode,32,2,linear_attention,120797.8,379254.0,146955.9,9
decode,64,2,linear_attention,156139.6,209381.1,119275.9,9
decode,128,2,linear_attention,198596.5,251148.2,170202.4,9
prefill,32,2,linear_attention,121632.5,134707.1,123475.5,3
prefill,64,2,linear_attention,164959.3,169759.7,165448.0,3
prefill,128,2,linear_attention,224186.3,238754.7,226613.4,3
decode,32,3,full_attention,75708.3,199425.1,87742.5,9
decode,64,3,full_attention,117825.5,196565.0,130763.1,9
decode,128,3,full_attention,140295.0,195594.2,106969.4,9
prefill,32,3,full_attention,92349.8,95988.0,87481.8,3
prefill,64,3,full_attention,111118.9,114301.0,111891.8,3
prefill,128,3,full_attention,133335.6,151827.5,139155.3,3
decode,32,4,linear_attention,45876.5,440428.3,105291.8,9
decode,64,4,linear_attention,45674.9,164887.9,82465.4,9
decode,128,4,linear_attention,45861.0,245506.6,107795.8,9
prefill,32,4,linear_attention,121513.2,122355.6,119280.1,3
prefill,64,4,linear_attention,162494.9,183828.4,166973.3,3
prefill,128,4,linear_attention,227079.3,242172.7,226720.6,3
decode,32,5,linear_attention,40466.0,293396.6,86004.1,9
decode,64,5,linear_attention,39431.9,156634.3,77028.5,9
decode,128,5,linear_attention,39550.0,266449.9,110350.6,9
prefill,32,5,linear_attention,119463.5,126985.8,118877.7,3
prefill,64,5,linear_attention,165025.9,167427.3,164506.3,3
prefill,128,5,linear_attention,231537.7,265753.7,242732.2,3
decode,32,6,linear_attention,42071.1,393284.5,100726.3,9
decode,64,6,linear_attention,39406.2,169592.3,78777.5,9
decode,128,6,linear_attention,43640.3,264440.7,110294.4,9
prefill,32,6,linear_attention,126371.0,126854.3,123758.9,3
prefill,64,6,linear_attention,169142.4,169723.2,167865.6,3
prefill,128,6,linear_attention,243925.4,272833.8,250074.1,3
decode,32,7,full_attention,37462.7,119385.3,56494.8,9
decode,64,7,full_attention,37393.6,107729.5,58746.0,9
decode,128,7,full_attention,41811.5,170128.0,75742.8,9
prefill,32,7,full_attention,78197.4,85733.4,77431.5,3
prefill,64,7,full_attention,110421.2,116064.2,112206.8,3
prefill,128,7,full_attention,174176.9,180802.7,168053.6,3
decode,32,8,linear_attention,45018.3,338177.0,92300.6,9
decode,64,8,linear_attention,43332.3,168849.9,81638.0,9
decode,128,8,linear_attention,46608.0,245141.8,110809.8,9
prefill,32,8,linear_attention,125755.5,139283.0,129885.8,3
prefill,64,8,linear_attention,160729.6,161892.6,155533.9,3
prefill,128,8,linear_attention,249049.8,254845.1,242342.8,3
decode,32,9,linear_attention,52473.3,329529.9,97021.9,9
decode,64,9,linear_attention,42669.3,164258.4,78419.8,9
decode,128,9,linear_attention,43073.9,283806.5,115368.3,9
prefill,32,9,linear_attention,114528.5,122840.7,115715.4,3
prefill,64,9,linear_attention,152395.2,163550.5,153288.2,3
prefill,128,9,linear_attention,248273.6,273923.3,247708.0,3
decode,32,10,linear_attention,67554.1,314070.2,100721.6,9
decode,64,10,linear_attention,41891.4,177710.2,81366.1,9
decode,128,10,linear_attention,41526.8,373578.2,128005.7,9
prefill,32,10,linear_attention,110041.7,115918.6,107030.4,3
prefill,64,10,linear_attention,161733.6,162769.4,160481.6,3
prefill,128,10,linear_attention,240365.7,246917.8,233090.0,3
decode,32,11,full_attention,57943.9,114379.4,60482.7,9
decode,64,11,full_attention,34979.3,123406.9,61521.0,9
decode,128,11,full_attention,34246.5,174347.6,75228.9,9
prefill,32,11,full_attention,71758.4,75779.1,71301.3,3
prefill,64,11,full_attention,105342.6,109233.8,106533.9,3
prefill,128,11,full_attention,144789.7,164286.9,150142.0,3
decode,32,12,linear_attention,50225.0,313988.2,96734.1,9
decode,64,12,linear_attention,39614.2,172558.4,79487.0,9
decode,128,12,linear_attention,42162.9,262979.0,106162.2,9
prefill,32,12,linear_attention,127001.9,181150.9,138249.1,3
prefill,64,12,linear_attention,148909.8,150750.1,148559.7,3
prefill,128,12,linear_attention,233178.5,237690.3,233296.9,3
decode,32,13,linear_attention,47233.7,330632.5,94532.1,9
decode,64,13,linear_attention,43654.9,154054.6,76631.5,9
decode,128,13,linear_attention,43404.4,265183.1,108911.6,9
prefill,32,13,linear_attention,116603.5,120995.6,116950.9,3
prefill,64,13,linear_attention,149858.9,158537.0,149432.4,3
prefill,128,13,linear_attention,220583.1,249148.1,223553.0,3
decode,32,14,linear_attention,45181.7,295395.6,89458.6,9
decode,64,14,linear_attention,45023.3,166051.7,81166.1,9
decode,128,14,linear_attention,48437.7,273552.2,109179.8,9
prefill,32,14,linear_attention,110178.3,120877.3,113007.5,3
prefill,64,14,linear_attention,169776.6,178451.7,171167.6,3
prefill,128,14,linear_attention,221702.0,251323.2,225993.4,3
decode,32,15,full_attention,34955.2,121874.6,54170.5,9
decode,64,15,full_attention,34721.1,114198.3,56378.3,9
