model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,329.607,369.859,12.2,5.93,0.80
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,755.470,854.935,13.2,3.92,0.69
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,396.986,426.738,7.5,5.19,5.28
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,221.390,235.392,6.3,6.62,1.18
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,736.802,777.638,5.5,4.00,0.71
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,247.351,267.186,8.0,5.92,1.06
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,741.760,781.430,5.3,3.97,0.71
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,2975.793,3180.266,6.9,1.65,0.35
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,152.844,181.138,18.5,6.39,0.86
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,252.309,271.852,7.7,5.87,1.04
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,144.094,144.677,0.4,7.15,7.28
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,112.592,114.633,1.8,6.51,1.16
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,252.018,268.936,6.7,5.84,1.04
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,126.592,129.509,2.3,5.79,1.04
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,252.601,268.352,6.2,5.83,1.04
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,618.960,711.717,15.0,3.97,0.85
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,3.792,4.083,7.7,8.05,1.08
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,5.764,6.032,4.7,13.24,1.42
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,14.876,15.168,2.0,9.23,2.20
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,4.679,4.935,5.5,4.89,0.88
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,5.519,5.679,2.9,11.06,1.48
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,5.180,5.332,2.9,4.42,0.79
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,6.152,6.315,2.7,9.92,1.33
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,9.807,10.087,2.9,10.89,1.67
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,3.745,3.888,3.8,4.07,0.55
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,4.623,4.775,3.3,8.25,0.89
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,9.798,9.947,1.5,7.01,1.67
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,3.535,3.938,11.4,3.24,0.58
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,4.454,4.594,3.1,6.85,0.92
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,4.174,4.326,3.6,2.74,0.49
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,4.664,4.807,3.1,6.54,0.88
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,6.761,6.907,2.2,7.90,1.21
