model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,1494.605,1650.075,10.4,1.31,0.18
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,3619.840,3735.639,3.2,0.82,0.14
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,1623.239,1724.163,6.2,1.27,1.29
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,963.443,1018.281,5.7,1.52,0.27
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,3604.380,3672.635,1.9,0.82,0.15
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,1078.951,1126.788,4.4,1.36,0.24
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,3610.213,3734.181,3.4,0.82,0.15
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,9277.406,9391.456,1.2,0.53,0.11
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,591.542,619.252,4.7,1.65,0.22
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,1015.656,1054.158,3.8,1.46,0.26
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,667.381,694.799,4.1,1.54,1.57
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,393.778,413.030,4.9,1.86,0.33
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,1015.947,1048.032,3.2,1.45,0.26
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,451.532,468.450,3.7,1.62,0.29
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,1021.489,1094.703,7.2,1.44,0.26
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,2310.455,2599.225,12.5,1.06,0.23
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,7.000,7.292,4.2,4.36,0.59
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,16.626,17.209,3.5,4.59,0.49
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,53.671,54.546,1.6,2.56,0.61
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,8.167,8.168,0.0,2.80,0.50
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,14.001,14.293,2.1,4.36,0.59
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,9.918,10.209,2.9,2.31,0.41
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,16.043,16.334,1.8,3.80,0.51
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,34.127,34.711,1.7,3.13,0.48
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,4.375,4.376,0.0,3.49,0.47
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,7.001,7.293,4.2,5.45,0.59
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,27.711,29.460,6.3,2.48,0.59
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,4.959,5.251,5.9,2.31,0.41
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,6.709,7.001,4.4,4.55,0.61
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,6.125,6.126,0.0,1.87,0.33
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,7.875,8.167,3.7,3.88,0.52
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,15.751,16.335,3.7,3.39,0.52
