# RK3588-t4 Sustained-Load Thermal Characterization
# Date: 2026-08-07
# Governor: performance
# Bead data: ob-dgn (thermal-throttle characterization)

## Big Cluster (A76, cpu4-7) — gated_scan, 4B prefill (seq=64)
elapsed_sec,throughput_gibs,thermal_c,pct_vs_first
5.0,11.75,48.1,0.0
10.0,11.74,49.0,-0.1
15.0,11.71,49.9,-0.4
20.0,11.66,50.8,-0.8
25.0,11.58,50.8,-1.5
30.0,11.57,50.8,-1.6
35.0,11.60,50.8,-1.3
40.0,11.60,51.8,-1.3
45.0,11.60,51.8,-1.3
50.0,11.58,51.8,-1.5
55.0,11.58,51.8,-1.5
60.0,11.58,51.8,-1.5

## Little Cluster (A55, cpu0-3) — gated_scan, 4B prefill (seq=64)
elapsed_sec,throughput_gibs,thermal_c,pct_vs_first
5.0,3.66,46.2,0.0
10.0,3.68,46.2,0.4
15.0,3.65,46.2,-0.5
20.0,3.68,46.2,0.6
25.0,3.64,46.2,-0.6
30.0,3.67,46.2,0.2
35.0,3.66,46.2,-0.0
40.0,3.68,46.2,0.6
45.0,3.67,46.2,0.1
50.0,3.71,46.2,1.2
55.0,3.73,46.2,1.8
60.0,3.69,46.2,0.9
